Performance,Video_URL
1.7413,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6096104653784047
1.1599,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-606237444463640
1.4393,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-605272664726548
0.2606,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6046690562050296
1.2,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-604285914607200
1.5304,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-604041931565137
0.4917,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-603099807587246
0.2123,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-911926190614858
1.887,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-911482386703699
1.9529,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-911172609864769
0.8536,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-910958533691058
0.8701,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-909937876815529
1.517,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-909110383822260
0.3052,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-909067460285978
0.5691,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-907416560296782
0.9162,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-906909830682725
0.5857,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-906506897404894
0.9664,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-905844110841635
0.239,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-905739711170399
2.1973,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-905545323817883
2.2575,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-904815481005158
2.2526,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-904480964010630
0.2472,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-904174908300812
0.7601,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-903960640750545
0.826,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-903913985069116
0.3204,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-903060767715541
1.2998,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-902843234362370
1.3935,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-902456848100089
1.766256973,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-902309670925392
1.74876253,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-9020567984620018
0.3260373981,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-901695498551491
0.4549878005,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-901272811190482
1.079063431,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-899987727789409
0.7162017076,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8995485367146316
0.07495728442,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-899155277883965
0.163608131,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-898967424867870
1.547834469,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-898402801287469
1.126284243,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-898103501380741
1.219956329,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-897680994566577
1.623129676,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-897088088160051
0.5761198172,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-896843165102015
1.187372674,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-896598988012982
0.4702852634,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-896589688256009
1.424756978,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-895042408159688
1.060539369,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-894559812351386
0.8035135158,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-894559522288371
1.61891816,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-894457734962164
1.264864302,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-894066258497958
